grape_code,grape,sinonimi
186,PETIT ROUGE,
187,PICCOLA NERA,
188,PICOLIT,
189,PIEDIROSSO,PIEDE DI COLOMBO
190,PIGATO,FAVORITA
191,PIGNOLA,
192,PINELLA,PINELLA BIANCA
193,PINOT BIANCO,WEI
194,PINOT GRIGIO G.,RULANDER
195,PINOT NERO,BLAU BURGUNDER* ; SPATBURGUNDER
196,PLASSA,
197,POLLERA NERA,
198,PORTOGHESE,BLAUER PORTUGIESER
199,PRIMITIVO,ZINFANDEL
200,GLERA,SERPRINO 
201,PRUGNOLO GENTILE,
202,PRUNESTA,
203,RABOSO PIAVE,FRIULARO 
204,RABOSO VERONESE,
205,REFOSCO DAL PEDUNCOLO ROSSO,REFOSCO
206,REFOSCO NOSTRANO,REFOSCO
207,RETAGLIADO BIANCO,
208,RIBUELE,RIBOLLA GIALLA
209,RIESLING ITALICO,WELSCHRIESLING
210,RIESLING RENANO,RHEINRIESLING
211,ROLLO,
212,RONDINELLA,
213,ROSSESE,
214,ROSSIGNOLA,ROSSETTA
215,ROSSOLA NERA,ROSSOLA
216,ROUSSANE,
217,SAGRANTINO,
218,SANGIOVESE,SANGIOVETO
219,S. GIUSEPPE NERO,
220,S. LUNARDO,
221,SAUVIGNON,SAUVIGNON BLANC
222,SCHIAVA GENTILE,SCHIAVA
223,SCHIAVA GRIGIA,SCHIAVA
224,SCHIAVA,ERBANNO
225,SCIASCINOSO,
226,SEMIDANO,
227,SEMILLON,
228,SGAVETTA,
229,SUSUMANIELLO,SUSSUMARIELLO
230,SYLVANER VERDE,GRUNER SYLVANER** ; SILVANER* 
231,SYRAH,SHIRAZ
232,TEROLDEGO,
233,TERRANO,CAGNINA
234,TIMORASSO,
235,"TOCAI FRIULANO B,",FRIULANO
236,TOCAI ROSSO,ALICANTE
237,TORBATO,
238,TRAMINER AROMATICO Rs.,GEWURZTRAMINER 
239,TREBBIANO DI SOAVE ,VERDICCHIO BIANCO
240,TREBBIANO GIALLO,ROSSETTO
241,TREBBIANO MODENESE,
242,TREBBIANO ROMAGNOLO,
243,TREBBIANO SPOLETINO,
244,TREBBIANO TOSCANO,BIANCAME
245,TREVISANA NERA,
246,TURCA,SERBINA
247,UVA DI TROIA,SUMARELLO
248,UVA RARA,
249,UVA TOSCA,
250,VELTLINER,GRUNER VELTLINER
251,VERDEA,COLOMBANA BIANCA
252,VERDECA,PAMPANUTO
253,VERDELLO,VERDICCHIO BIANCO
254,VERDICCHIO BIANCO,TREBBIANO DI LUGANA 
255,VERDISO,
256,VERDUZZO FRIULANO,
257,VERDUZZO TREVIGIANO,
258,VERMENTINO,PIGATO
259,VERMENTINO NERO,
260,VERNACCIA DI ORISTANO,
261,VERNACCIA DI S. GIMIGNANO,BERVEDINO
262,VERNACCIA NERA,VERNACCIA
263,VESPAIOLA,VESPAIOLO
264,VESPOLINA,UGHETTA
265,VIEN DE NUS,
266,AGLIANICO DEL VULTURE,AGLIANICO
267,ALBAROSSA,
268,BRIC,
269,BUSSANELLO,
270,CHASSELAS DORATO,
271,CORNAREA,
272,COVE',
273,FERTILIA,
274,FLAVIS,
275,FUBIANO,
276,INCROCIO BIANCO FEDIT 51 C.S.G.,Dorona
277,INVERNENGA,
278,ITALICA,
279,MALVASIA DI CANDIA AROMATICA,
280,S. MARTINO,
281,MOSCATO DI TERRACINA,MOSCATELLO
282,NEBBIERA,
283,NIGRA,
284,PASSAU,
285,PIGNOLO,
286,PRODEST,
287,ROSSARA,
288,S. MICHELE,
289,SCHIAVA GROSSA,EDELVERNATSCH
290,SCHIOPPETTINO,
291,CHENIN,
292,SOPERGA,
293,TAZZELENGHE,
294,TSCHAGGELE,
295,VALENTINO,
296,VEGA,
297,VERDUSCHIA,VERDELLO
298,CHARDONNAY,
299,MANZONI BIANCO,INCROCIO MANZONI 6.0.13
300,PIGNOLETTO,GRECHETTO GENTILE
301,REBO,
302,MEUNIER,
303,WILDBACHER,
304,CORNALIN,
305,KERNER,
306,MAYOLET,
307,MOSCATELLO SELVATICO,
308,MOSCATO DI SCANZO,
309,PELAVERGA,CARI
310,PETITE ARVINE,
311,PRIE BLANC B,
312,PRIE ROUGE Rs.,
313,RUCHE',
314,CANAIOLO ROSA Rs.,
315,ALIONZA,
316,DINDARELLA,
317,FORSELLINA,
318,MALVASIA ROSA Rs.,
319,MARSANNE,
320,VITOUSKA,GARGANJA
321,FORGIARIN,
322,PICULIT-NERI,
323,SCIAGLIN,
324,UCELUT,
325,QUAGLIANO,
326,BOSCHERA,
328,CORVINONE,
329,MARZEMINA BIANCA,MARZEMINA
330,PELAVERGA PICCOLO,
331,PERERA,
332,TREBBIANO ABRUZZESE,
333,MALBO GENTILE,
334,PEDEVENDA,
335,PETIT VERDOT,
336,CARMENERE,CABERNET NOSTRANO
337,VERDESE,
338,ERVI,
339,MELARA,
340,SANTA MARIA,
341,REGINA,
342,REGINA DEI VIGNETI,
343,ZIBIBBO,MOSCATO D ALESSANDRIA
344,TANNAT,
345,TEMPRANILLO,
346,VIOGNIER,
347,ABRUSCO,
348,BONDA,
349,CROVASSA,
350,DIOLINOIR,
351,GAMARET,
352,GARANOIR,
353,MORONE,
354,NER D'ALA,
355,ROUSSIN,
356,VUILLERMIN,
357,UVA LONGANESI,
358,OSELETA,
359,GLERA LUNGA,GLERA
360,LAMBRUSCO OLIVA,
361,NEGROAMARO PRECOCE,
362,NASCETTA,
363,MALVASIA NERA LUNGA,
364,SPERGOLA,
365,CASAVECCHIA,
366,SENNEN,
367,GOSEN,
368,GOLDTRAMINER,
369,CASETTA,
370,UVALINO,
371,PUGNITELLO,
372,TINTILIA,
373,BECUET,
374,ROSSESE BIANCO,
375,MANZONI MOSCATO,INCROCIO MANZONI 13.0.25
376,MANZONI ROSA Rs.,INCROCIO MANZONI 1-50
377,SCIMISCIA',
378,CENTESIMINO,
379,CHATUS,
380,GROPPELLO DI REVO,
381,PALLAGRELLO BIANCO,
382,PALLAGRELLO NERO,
383,FENILE,
384,GINESTRA,
385,PEPELLA,
386,RIPOLO,
387,TRONTO,
388,CIVIDIN,
389,MONDEUSE,
390,CJANORIE,
391,CHENIN,
392,MORADELLA,
393,FOGARINA,
394,PERLA DEI VIVI,
395,TERMARINA,
396,ZWEIGELT,
397,ORPICCHIO,
398,CATALANESCA,
399,LAGARINO,
400,MERLESE,
401,VERDEALBARA,ERBAMAT
402,PETIT MANSENG,
403,GAMBA ROSSA,IMPERATRICE DALLA GAMBA ROSSA
404,LAMBRUSCO BARGHI,
405,CAVRARA,
406,CORBINA,CORBINELLA
407,GRAPARIOL,
408,MARZEMINA GROSSA,MARZEMINA BASTARDA
409,RECANTINA,
410,TURCHETTA,
411,SLARINA,
412,SANFORTE,
413,BARATUCIAT,
414,CORDENOSSA,
415,VERNACCIA NERA GROSSA,
416,BRONNER,
417,CAPOLONGO,
418,ERBAMAT,VERDEALBARA
419,ERBANNO,SCHIAVA
420,FAMOSO,
421,LECINARO,
422,MAIOLINA,
423,MAOR,
424,MATURANO,
425,MOSCATO OTTONEL,
426,PAMPANARO,
427,PAOLINA,
428,REGENT,
429,ROSCIOLA Rs.,
430,ROVIELLO,
431,RUGGINE,
432,RUZZESE,
433,SERBINA,TURCA
434,TREBBIANINA,
435,UVA DEL FANTINI,
436,UVA DEL TUNDE',
437,VERNACCINA,
438,VERUCCESE,
439,CELTICA,
440,GRATENA,INCROCIO TERZI1
441,MORNASCA,
442,PLINIANA,
443,ROSSONE,
444,TINTORE,
445,VIRGILIO,
446,ANTINELLO,
447,CORNACCHIA,
448,GRERO,Grero
449,INCROCIO MANZONI 2-14,
450,INCROCIO MANZONI 2-3,
451,LAMBRUSCO BENETTI,
452,LANZESA,
453,MARCHIONE,
454,MARESCO,
455,MINUTOLO,
456,PELAGOS,
457,SAINT LAURENT,
458,SCARSAFOGLIA,
459,SOMARELLO ROSSO,
460,DORONA,Incrocio Bianco FEDIT 51 C.S.G.
461,GRUAJA,
462,MALVASIA MOSCATA,
463,GAROFANATA,
464,GRADO',
465,CABERNET CARBON,
466,CABERNET CORTIS,
467,GUARNACCINO,
468,HELIOS,
469,JOHANNITER,
470,PRIOR,
471,SOLARIS,
472,SPIGAMONTI,
473,BIANCACCIA,
474,GRAPPELLO RUBERTI,Lambrusco viadanese
475,ROSSETTA DI MONTAGNA Rs.,
476,ALBARINO,
477,ARINARNOA,
478,CESENESE NERO,
479,FUMAT,
480,IASMA ECO 1,
481,IASMA ECO 2,
482,IASMA ECO 3,
483,IASMA ECO 4,
484,IRSAI OLIVER,
485,MARSELAN,
486,PALAVA,
487,REFOSCO BIANCO,
488,SAGRESTANA,
489,VERDEJO,
